ID_Dünger;ID_DuengerArt;Bezeichnung;Duenger_lang;Einheit;Nges_PrzFM;NO3_N_PrzFM;NH4_N_PrzFM;Harnstoff_N_PrzFM;P_PrzFM;K_PrzFM;S_PrzFM;Mg_PrzFM;P2O5_PrzFM;K2O_PrzFM;CaCO3_PRZFM;THG_Faktor;Dichte_kg_je_l;Feldemission-N2O-Faktor;Feldemission-NO-Faktor;Feldemission-NH3-Faktor;Feldemission-organisch-NH3-Faktor;KEA_Biomasse;KEA_Fossil;KEA_Geothermal;KEA_Nuklear;KEA_Primaerwald;KEA_Sonne;KEA_Wasser;KEA_Wind;Summe KEA_Dünger [MJ/kg Dünger];ID_DuengerArt;ID_Frucht;Frucht;ID_Frucht;Fruchtart-Faktor N2O;Fruchtart-Faktor NO;Fruchtart-Faktor NH3
D48;2;KAS mit Magnesium;Kalkammonsalpeter mit Magnesium;kg/ha;27;13,5;13,5;0;0;0;0,05;1,809;0;0;26;2,315;1;0,0038;0,0061;-1,064;0;0,184;17,531;0,015;0,527;0,003;0;0,188;0,016;18,464;2;173;W.Roggen, W.Wicken;173;0;0;-0,045
D145;2;Kemistar;Kemistar;kg/ha;15;4;11;0;13,092619;0;4;2,713661;30,00042718;0;;1,527;1;0,0038;0,0061;-0,748;0;;12,334;;0,468;;;;;12,802;2;175;W.Triticale;175;0;0;-0,045
D130;2;Kieserit fein;Kieserit fein;kg/ha;0;0;0;0;0;0;22;16,281;0;0;;0,288;1;0;0;0;0;3,62;2,045;0,288;0,001;0,001;3,62;2,045;2,045;13,665;2;233;W.Triticale, W.Erbse;233;0;0;-0,045
D131;2;Kieserit granuliert;Kieserit granuliert;kg/ha;0;0;0;0;0;0;21;15,075;0;0;;0,288;1;0;0;0;0;3,62;2,045;0,288;0,001;0,001;3,62;2,045;2,045;13,665;2;224;W.Triticale, W.Weizen;224;0;0;-0,045
D150;2;Korn-Kali;Korn-Kali;kg/ha;0;0;0;0;0;33,20591;4;3,61822;0;40,01312155;;0,009;1;0;0;0;0;0,007;0,345;0;0;0;0;0,002;0;0,354;2;244;W.Triticale, W.Wicke;244;0;0;-0,045
D27;2;Magnesia-Kainit;Magnesia-Kainit;kg/ha;0;0;0;0;0;9,13;4;3,015;0;11,00165;;0,007;1;0;0;0;0;0,005;0,278;0;0,005;0;0;0,001;0;0,29;2;176;W.Weizen;176;0;0;-0,045
D9;2;Magnesium-Branntkalk;Magnesium-Branntkalk;kg/ha;0;0;0;0;0;0;0;15,075;0;0;;0,002;1;0;0;0;0;0,001;0,039;0,001;0,001;0;0;0,001;0,001;0,044;2;177;W.Wicke;177;0;0;-0,045
D147;2;Mangan Chelat;Mangan Chelat;l/ha;0;0;0;0;0;0;0;0;0;0;;0,108;1,32;0;0;0;0;0,058;1,59;0,013;0,602;0;0;0,438;0,021;2,722;2;179;Welsches Weidelgras;179;-0,3502;0;-0,158
D58;2;Monoammonphosphat;Monoammonphosphat;kg/ha;12;0;12;0;22,672;0;0,05;0;51,9506208;0;;1,058;1,1;0,0038;0,0061;-0,622;0;0,61;38,116;0,065;1,896;0,073;0;0,666;0,054;41,482;2;181;Zuckerrüben;181;0,442;0;-0,045
D54;2;NK-Dünger 19-11;NK-Dünger 19-11;kg/ha;19;;;0;0;9,13;0,05;0;0;11,00165;;0,479;1;0,0038;0,0061;-0,748;0;0,045;3,575;0,003;11248,76;0;0;0,05;0,004;11252,437;2;;;;;;
